value,formattedValue,link,topic_mid,topic_title
7,7,/trends/explore?q=/m/0gymbj&date=2023-03-12+2023-06-10,/m/0gymbj,MAC Cosmetics
7,7,/trends/explore?q=/g/11cp7qxz52&date=2023-03-12+2023-06-10,/g/11cp7qxz52,IT Cosmetics
6,6,/trends/explore?q=/g/11j66zkxwg&date=2023-03-12+2023-06-10,/g/11j66zkxwg,IT Cosmetics
5,5,/trends/explore?q=/g/11byl2lgb1&date=2023-03-12+2023-06-10,/g/11byl2lgb1,e.l.f. Cosmetics
4,4,/trends/explore?q=/m/05q5p22&date=2023-03-12+2023-06-10,/m/05q5p22,e.l.f.
3,3,/trends/explore?q=/g/11f5hvtwjd&date=2023-03-12+2023-06-10,/g/11f5hvtwjd,Kylie Cosmetics
3,3,/trends/explore?q=/g/11dxd2vdb_&date=2023-03-12+2023-06-10,/g/11dxd2vdb_,Sugar Cosmetics
3,3,/trends/explore?q=/m/08p92x&date=2023-03-12+2023-06-10,/m/08p92x,Cream
2,2,/trends/explore?q=/g/11lwd4wz6s&date=2023-03-12+2023-06-10,/g/11lwd4wz6s,Thrive Causemetics
2,2,/trends/explore?q=/m/01jwgf&date=2023-03-12+2023-06-10,/m/01jwgf,Product
2,2,/trends/explore?q=/g/11hfkb__6b&date=2023-03-12+2023-06-10,/g/11hfkb__6b,Freshly Cosmetics
2,2,/trends/explore?q=/m/01f43&date=2023-03-12+2023-06-10,/m/01f43,Beauty
2,2,/trends/explore?q=/m/02rv880&date=2023-03-12+2023-06-10,/m/02rv880,Foundation
2,2,/trends/explore?q=/m/06pj2k&date=2023-03-12+2023-06-10,/m/06pj2k,Lips
2,2,/trends/explore?q=/m/0hnd4tx&date=2023-03-12+2023-06-10,/m/0hnd4tx,CC cream
2,2,/trends/explore?q=/m/06c7f7&date=2023-03-12+2023-06-10,/m/06c7f7,Lipstick
1,1,/trends/explore?q=/g/11bwfh90y1&date=2023-03-12+2023-06-10,/g/11bwfh90y1,IT Cosmetics CC+ Cream
1,1,/trends/explore?q=/m/05nn45&date=2023-03-12+2023-06-10,/m/05nn45,Sephora
1,1,/trends/explore?q=/g/11c0xrbm07&date=2023-03-12+2023-06-10,/g/11c0xrbm07,Lola Cosmetics
1,1,/trends/explore?q=/g/11c6t_8dng&date=2023-03-12+2023-06-10,/g/11c6t_8dng,Eveline Cosmetics
1,1,/trends/explore?q=/m/0cmwj9&date=2023-03-12+2023-06-10,/m/0cmwj9,Benefit Cosmetics
1,1,/trends/explore?q=/m/01r0j5&date=2023-03-12+2023-06-10,/m/01r0j5,Sunscreen
1,1,/trends/explore?q=/m/04k9pm&date=2023-03-12+2023-06-10,/m/04k9pm,Moisturizer
